"Time_start";"Time_finish";"Aud_from";"Aud_to";"Weekday";"Group"
"9:00:00";"10:45:00";"431";"431";"Monday";"503_CS"
"10:45:00";"11:00:00";"431";"402";"Monday";"503_CS"
"11:00:00";"12:45:00";"402";"402";"Monday";"503_CS"
"12:45:00";"13:30:00";"402";"431";"Monday";"503_CS"
"13:30:00";"15:15:00";"431";"431";"Monday";"503_CS"
"15:15:00";"15:30:00";"431";"777";"Monday";"503_CS"
"15:30:00";"17:15:00";"";"";"Monday";"503_CS"
"17:15:00";"17:30:00";"";"";"Monday";"503_CS"
"17:30:00";"19:15:00";"";"";"Monday";"503_CS"
"19:15:00";"19:30:00";"";"";"Monday";"503_CS"
"9:00:00";"10:45:00";"";"";"Tuesday";"503_CS"
"10:45:00";"11:00:00";"";"";"Tuesday";"503_CS"
"11:00:00";"12:45:00";"432";"432";"Tuesday";"503_CS"
"12:45:00";"13:30:00";"432";"432";"Tuesday";"503_CS"
"13:30:00";"15:15:00";"432";"432";"Tuesday";"503_CS"
"15:15:00";"15:30:00";"432";"777";"Tuesday";"503_CS"
"15:30:00";"17:15:00";"";"";"Tuesday";"503_CS"
"17:15:00";"17:30:00";"";"";"Tuesday";"503_CS"
"17:30:00";"19:15:00";"";"";"Tuesday";"503_CS"
"19:15:00";"19:30:00";"";"";"Tuesday";"503_CS"
"9:00:00";"10:45:00";"";"";"Wednesday";"503_CS"
"10:45:00";"11:00:00";"";"";"Wednesday";"503_CS"
"11:00:00";"12:45:00";"432";"432";"Wednesday";"503_CS"
"12:45:00";"13:30:00";"432";"423";"Wednesday";"503_CS"
"13:30:00";"15:15:00";"432";"432";"Wednesday";"503_CS"
"15:15:00";"15:30:00";"432";"432";"Wednesday";"503_CS"
"15:30:00";"17:15:00";"432";"432";"Wednesday";"503_CS"
"17:15:00";"17:30:00";"432";"432";"Wednesday";"503_CS"
"17:30:00";"19:15:00";"432";"432";"Wednesday";"503_CS"
"19:15:00";"19:30:00";"432";"777";"Wednesday";"503_CS"
"9:00:00";"10:45:00";"204";"204";"Thursday";"503_CS"
"10:45:00";"11:00:00";"204";"402";"Thursday";"503_CS"
"11:00:00";"12:45:00";"402";"402";"Thursday";"503_CS"
"12:45:00";"13:30:00";"402";"431";"Thursday";"503_CS"
"13:30:00";"15:15:00";"431";"431";"Thursday";"503_CS"
"15:15:00";"15:30:00";"431";"431";"Thursday";"503_CS"
"15:30:00";"17:15:00";"431";"431";"Thursday";"503_CS"
"17:15:00";"17:30:00";"431";"777";"Thursday";"503_CS"
"17:30:00";"19:15:00";"";"";"Thursday";"503_CS"
"9:00:00";"10:45:00";"204";"204";"Friday";"503_CS"
"10:45:00";"11:00:00";"204";"433";"Friday";"503_CS"
"11:00:00";"12:45:00";"433";"433";"Friday";"503_CS"
"12:45:00";"13:30:00";"433";"432";"Friday";"503_CS"
"13:30:00";"15:15:00";"432";"432";"Friday";"503_CS"
"15:15:00";"15:30:00";"432";"777";"Friday";"503_CS"
"15:30:00";"17:15:00";"";"";"Friday";"503_CS"
"17:15:00";"17:30:00";"";"";"Friday";"503_CS"
"17:30:00";"19:15:00";"";"";"Friday";"503_CS"
"9:00:00";"10:45:00";"516.5170000000001";"516.5170000000001";"Monday";"504_SE"
"10:45:00";"11:00:00";"516.5170000000001";"402";"Monday";"504_SE"
"11:00:00";"12:45:00";"402";"402";"Monday";"504_SE"
"12:45:00";"13:30:00";"402";"206";"Monday";"504_SE"
"13:30:00";"15:15:00";"206";"206";"Monday";"504_SE"
"15:15:00";"15:30:00";"206";"431.433";"Monday";"504_SE"
"15:30:00";"17:15:00";"431.433";"431.433";"Monday";"504_SE"
"17:15:00";"17:30:00";"431.433";"777";"Monday";"504_SE"
"17:30:00";"19:15:00";"";"";"Monday";"504_SE"
"19:15:00";"19:30:00";"";"";"Monday";"504_SE"
"9:00:00";"10:45:00";"";"";"Tuesday";"504_SE"
"10:45:00";"11:00:00";"";"";"Tuesday";"504_SE"
"11:00:00";"12:45:00";"";"";"Tuesday";"504_SE"
"12:45:00";"13:30:00";"";"";"Tuesday";"504_SE"
"13:30:00";"15:15:00";"";"";"Tuesday";"504_SE"
"15:15:00";"15:30:00";"";"";"Tuesday";"504_SE"
"15:30:00";"17:15:00";"";"";"Tuesday";"504_SE"
"17:15:00";"17:30:00";"";"";"Tuesday";"504_SE"
"17:30:00";"19:15:00";"";"";"Tuesday";"504_SE"
"19:15:00";"19:30:00";"";"";"Tuesday";"504_SE"
"9:00:00";"10:45:00";"206";"206";"Wednesday";"504_SE"
"10:45:00";"11:00:00";"206";"431.433";"Wednesday";"504_SE"
"11:00:00";"12:45:00";"431.433";"431.433";"Wednesday";"504_SE"
"12:45:00";"13:30:00";"431.433";"204";"Wednesday";"504_SE"
"13:30:00";"15:15:00";"204";"204";"Wednesday";"504_SE"
"15:15:00";"15:30:00";"204";"204";"Wednesday";"504_SE"
"15:30:00";"17:15:00";"204";"204";"Wednesday";"504_SE"
"17:15:00";"17:30:00";"204";"777";"Wednesday";"504_SE"
"17:30:00";"19:15:00";"";"";"Wednesday";"504_SE"
"19:15:00";"19:30:00";"";"";"Wednesday";"504_SE"
"9:00:00";"10:45:00";"204";"204";"Thursday";"504_SE"
"10:45:00";"11:00:00";"204";"402";"Thursday";"504_SE"
"11:00:00";"12:45:00";"402";"402";"Thursday";"504_SE"
"12:45:00";"13:30:00";"402";"206";"Thursday";"504_SE"
"13:30:00";"15:15:00";"206";"206";"Thursday";"504_SE"
"15:15:00";"15:30:00";"206";"430.433";"Thursday";"504_SE"
"15:30:00";"17:15:00";"430.433";"430.433";"Thursday";"504_SE"
"17:15:00";"17:30:00";"430.433";"777";"Thursday";"504_SE"
"17:30:00";"19:15:00";"";"";"Thursday";"504_SE"
"9:00:00";"10:45:00";"204";"204";"Friday";"504_SE"
"10:45:00";"11:00:00";"204";"431.433";"Friday";"504_SE"
"11:00:00";"12:45:00";"431.433";"431.433";"Friday";"504_SE"
"12:45:00";"13:30:00";"431.433";"204";"Friday";"504_SE"
"13:30:00";"15:15:00";"204";"204";"Friday";"504_SE"
"15:15:00";"15:30:00";"204";"204";"Friday";"504_SE"
"15:30:00";"17:15:00";"204";"204";"Friday";"504_SE"
"17:15:00";"17:30:00";"204";"204";"Friday";"504_SE"
"17:30:00";"19:15:00";"204";"204";"Friday";"504_SE"
"19:15:00";"19:30:00";"204";"777";"Friday";"504_SE"
"9:00:00";"10:45:00";"516.5170000000001";"516.5170000000001";"Monday";"504_SE"
"10:45:00";"11:00:00";"516.5170000000001";"402";"Monday";"504_SE"
"11:00:00";"12:45:00";"402";"402";"Monday";"504_SE"
"12:45:00";"13:30:00";"402";"206";"Monday";"504_SE"
"13:30:00";"15:15:00";"206";"206";"Monday";"504_SE"
"15:15:00";"15:30:00";"206";"431.433";"Monday";"504_SE"
"15:30:00";"17:15:00";"431.433";"431.433";"Monday";"504_SE"
"17:15:00";"17:30:00";"431.433";"777";"Monday";"504_SE"
"17:30:00";"19:15:00";"";"";"Monday";"504_SE"
"19:15:00";"19:30:00";"";"";"Monday";"504_SE"
"9:00:00";"10:45:00";"";"";"Tuesday";"504_SE"
"10:45:00";"11:00:00";"";"";"Tuesday";"504_SE"
"11:00:00";"12:45:00";"";"";"Tuesday";"504_SE"
"12:45:00";"13:30:00";"";"";"Tuesday";"504_SE"
"13:30:00";"15:15:00";"";"";"Tuesday";"504_SE"
"15:15:00";"15:30:00";"";"";"Tuesday";"504_SE"
"15:30:00";"17:15:00";"";"";"Tuesday";"504_SE"
"17:15:00";"17:30:00";"";"";"Tuesday";"504_SE"
"17:30:00";"19:15:00";"";"";"Tuesday";"504_SE"
"19:15:00";"19:30:00";"";"";"Tuesday";"504_SE"
"9:00:00";"10:45:00";"206";"206";"Wednesday";"504_SE"
"10:45:00";"11:00:00";"206";"431.433";"Wednesday";"504_SE"
"11:00:00";"12:45:00";"431.433";"431.433";"Wednesday";"504_SE"
"12:45:00";"13:30:00";"431.433";"204";"Wednesday";"504_SE"
"13:30:00";"15:15:00";"204";"204";"Wednesday";"504_SE"
"15:15:00";"15:30:00";"204";"204";"Wednesday";"504_SE"
"15:30:00";"17:15:00";"204";"204";"Wednesday";"504_SE"
"17:15:00";"17:30:00";"204";"777";"Wednesday";"504_SE"
"17:30:00";"19:15:00";"";"";"Wednesday";"504_SE"
"19:15:00";"19:30:00";"";"";"Wednesday";"504_SE"
"9:00:00";"10:45:00";"204";"204";"Thursday";"504_SE"
"10:45:00";"11:00:00";"204";"402";"Thursday";"504_SE"
"11:00:00";"12:45:00";"402";"402";"Thursday";"504_SE"
"12:45:00";"13:30:00";"402";"206";"Thursday";"504_SE"
"13:30:00";"15:15:00";"206";"206";"Thursday";"504_SE"
"15:15:00";"15:30:00";"206";"430.433";"Thursday";"504_SE"
"15:30:00";"17:15:00";"430.433";"430.433";"Thursday";"504_SE"
"17:15:00";"17:30:00";"430.433";"777";"Thursday";"504_SE"
"17:30:00";"19:15:00";"";"";"Thursday";"504_SE"
"9:00:00";"10:45:00";"204";"204";"Friday";"504_SE"
"10:45:00";"11:00:00";"204";"431.433";"Friday";"504_SE"
"11:00:00";"12:45:00";"431.433";"431.433";"Friday";"504_SE"
"12:45:00";"13:30:00";"431.433";"204";"Friday";"504_SE"
"13:30:00";"15:15:00";"204";"204";"Friday";"504_SE"
"15:15:00";"15:30:00";"204";"204";"Friday";"504_SE"
"15:30:00";"17:15:00";"204";"204";"Friday";"504_SE"
"17:15:00";"17:30:00";"204";"204";"Friday";"504_SE"
"17:30:00";"19:15:00";"204";"204";"Friday";"504_SE"
"19:15:00";"19:30:00";"204";"777";"Friday";"504_SE"
"9:00:00";"10:45:00";"516.5170000000001";"516.5170000000001";"Monday";"504_BI"
"10:45:00";"11:00:00";"516.5170000000001";"402";"Monday";"504_BI"
"11:00:00";"12:45:00";"402";"402";"Monday";"504_BI"
"12:45:00";"13:30:00";"402";"777";"Monday";"504_BI"
"13:30:00";"15:15:00";"";"";"Monday";"504_BI"
"15:15:00";"15:30:00";"";"";"Monday";"504_BI"
"15:30:00";"17:15:00";"";"";"Monday";"504_BI"
"17:15:00";"17:30:00";"";"";"Monday";"504_BI"
"17:30:00";"19:15:00";"";"";"Monday";"504_BI"
"19:15:00";"19:30:00";"";"";"Monday";"504_BI"
"9:00:00";"10:45:00";"";"";"Tuesday";"504_BI"
"10:45:00";"11:00:00";"";"";"Tuesday";"504_BI"
"11:00:00";"12:45:00";"";"";"Tuesday";"504_BI"
"12:45:00";"13:30:00";"";"";"Tuesday";"504_BI"
"13:30:00";"15:15:00";"";"";"Tuesday";"504_BI"
"15:15:00";"15:30:00";"";"";"Tuesday";"504_BI"
"15:30:00";"17:15:00";"";"";"Tuesday";"504_BI"
"17:15:00";"17:30:00";"";"";"Tuesday";"504_BI"
"17:30:00";"19:15:00";"";"";"Tuesday";"504_BI"
"19:15:00";"19:30:00";"";"";"Tuesday";"504_BI"
"9:00:00";"10:45:00";"";"";"Wednesday";"504_BI"
"10:45:00";"11:00:00";"";"";"Wednesday";"504_BI"
"11:00:00";"12:45:00";"431.433";"431.433";"Wednesday";"504_BI"
"12:45:00";"13:30:00";"431.433";"777";"Wednesday";"504_BI"
"13:30:00";"15:15:00";"";"";"Wednesday";"504_BI"
"15:15:00";"15:30:00";"";"";"Wednesday";"504_BI"
"15:30:00";"17:15:00";"";"";"Wednesday";"504_BI"
"17:15:00";"17:30:00";"";"";"Wednesday";"504_BI"
"17:30:00";"19:15:00";"";"";"Wednesday";"504_BI"
"19:15:00";"19:30:00";"";"";"Wednesday";"504_BI"
"9:00:00";"10:45:00";"204";"204";"Thursday";"504_BI"
"10:45:00";"11:00:00";"204";"402";"Thursday";"504_BI"
"11:00:00";"12:45:00";"402";"402";"Thursday";"504_BI"
"12:45:00";"13:30:00";"402";"206";"Thursday";"504_BI"
"13:30:00";"15:15:00";"206";"206";"Thursday";"504_BI"
"15:15:00";"15:30:00";"206";"430.433";"Thursday";"504_BI"
"15:30:00";"17:15:00";"430.433";"430.433";"Thursday";"504_BI"
"17:15:00";"17:30:00";"430.433";"777";"Thursday";"504_BI"
"17:30:00";"19:15:00";"";"";"Thursday";"504_BI"
"9:00:00";"10:45:00";"204";"204";"Friday";"504_BI"
"10:45:00";"11:00:00";"204";"431.433";"Friday";"504_BI"
"11:00:00";"12:45:00";"431.433";"431.433";"Friday";"504_BI"
"12:45:00";"13:30:00";"431.433";"204";"Friday";"504_BI"
"13:30:00";"15:15:00";"204";"204";"Friday";"504_BI"
"15:15:00";"15:30:00";"204";"777";"Friday";"504_BI"
"15:30:00";"17:15:00";"";"";"Friday";"504_BI"
"17:15:00";"17:30:00";"";"";"Friday";"504_BI"
"17:30:00";"19:15:00";"";"";"Friday";"504_BI"
"19:15:00";"19:30:00";"";"";"Friday";"504_BI"
"9:00:00";"10:45:00";"";"";"Monday";"603_CS"
"10:45:00";"11:00:00";"";"";"Monday";"603_CS"
"11:00:00";"12:45:00";"";"";"Monday";"603_CS"
"12:45:00";"13:30:00";"";"";"Monday";"603_CS"
"13:30:00";"15:15:00";"";"";"Monday";"603_CS"
"15:15:00";"15:30:00";"";"";"Monday";"603_CS"
"15:30:00";"17:15:00";"433";"433";"Monday";"603_CS"
"17:15:00";"17:30:00";"433";"777";"Monday";"603_CS"
"17:30:00";"19:15:00";"";"";"Monday";"603_CS"
"19:15:00";"19:30:00";"";"";"Monday";"603_CS"
"9:00:00";"10:45:00";"";"";"Tuesday";"603_CS"
"10:45:00";"11:00:00";"";"";"Tuesday";"603_CS"
"11:00:00";"12:45:00";"";"";"Tuesday";"603_CS"
"12:45:00";"13:30:00";"";"";"Tuesday";"603_CS"
"13:30:00";"15:15:00";"";"";"Tuesday";"603_CS"
"15:15:00";"15:30:00";"";"";"Tuesday";"603_CS"
"15:30:00";"17:15:00";"";"";"Tuesday";"603_CS"
"17:15:00";"17:30:00";"";"";"Tuesday";"603_CS"
"17:30:00";"19:15:00";"";"";"Tuesday";"603_CS"
"19:15:00";"19:30:00";"";"";"Tuesday";"603_CS"
"9:00:00";"10:45:00";"402";"402";"Wednesday";"603_CS"
"10:45:00";"11:00:00";"402";"777";"Wednesday";"603_CS"
"11:00:00";"12:45:00";"";"";"Wednesday";"603_CS"
"12:45:00";"13:30:00";"";"";"Wednesday";"603_CS"
"13:30:00";"15:15:00";"";"";"Wednesday";"603_CS"
"15:15:00";"15:30:00";"";"";"Wednesday";"603_CS"
"15:30:00";"17:15:00";"402";"432";"Wednesday";"603_CS"
"17:15:00";"17:30:00";"432";"777";"Wednesday";"603_CS"
"17:30:00";"19:15:00";"";"";"Wednesday";"603_CS"
"19:15:00";"19:30:00";"";"";"Wednesday";"603_CS"
"9:00:00";"10:45:00";"";"";"Thursday";"603_CS"
"10:45:00";"11:00:00";"";"";"Thursday";"603_CS"
"11:00:00";"12:45:00";"";"";"Thursday";"603_CS"
"12:45:00";"13:30:00";"";"";"Thursday";"603_CS"
"13:30:00";"15:15:00";"";"";"Thursday";"603_CS"
"15:15:00";"15:30:00";"";"";"Thursday";"603_CS"
"15:30:00";"17:15:00";"";"";"Thursday";"603_CS"
"17:15:00";"17:30:00";"";"";"Thursday";"603_CS"
"17:30:00";"19:15:00";"";"";"Thursday";"603_CS"
"9:00:00";"10:45:00";"";"";"Friday";"603_CS"
"10:45:00";"11:00:00";"";"";"Friday";"603_CS"
"11:00:00";"12:45:00";"";"";"Friday";"603_CS"
"12:45:00";"13:30:00";"";"";"Friday";"603_CS"
"13:30:00";"15:15:00";"";"";"Friday";"603_CS"
"15:15:00";"15:30:00";"";"";"Friday";"603_CS"
"15:30:00";"17:15:00";"";"";"Friday";"603_CS"
"17:15:00";"17:30:00";"";"";"Friday";"603_CS"
"17:30:00";"19:15:00";"";"";"Friday";"603_CS"
